"TaxonUsageID";"TaxonConceptID";"TaxonName";"AuthorName"
1;1;"Abelmoschus esculentus";"(L.) Moench"
52313;1;"Hibiscus esculentus";"L."
2;2;"Abutilon indicum";"(L.)"
3;3;"Abutilon mauritianum";"(Jacq.) Medik."
50361;3;"Pavonia patens";"(Andrews) Chiov."
4;4;"Acacia drepanolobium";"Harms ex Y. Sjöstedt"
5;5;"Acacia elatior";"Brenan"
6;6;"Acacia kirkii";"Oliv."
7;7;"Acacia mearnsii";"De Wild."
8;8;"Acacia mellifera";"(Vahl) Benth."
9;9;"Acacia polyacantha";"Willd."
10;10;"Acacia reficiens";"Wawra"
11;11;"Acacia seyal";"Delile"
12;12;"Acacia species";
13;13;"Acacia tortilis";"(Forssk.) Hayne"
14;14;"Acalypha fruticosa";"Forssk."
15;15;"Acanthospermum australe";"(Loefl.) Kuntze"
16;16;"Acanthospermum hispidum";"DC."
17;17;"Acanthus eminens";"C.B. Clarke"
18;18;"Achyranthes aspera";"L."
19;19;"Achyranthes species";
20;20;"Acmella caulirhiza";"Delile"
50001;20;"Spilanthes mauritiana";"(A. Rich. ex Pers.) DC."
21;21;"Acmella uliginosa";"(Sw.) Cass."
50002;21;"Spilanthes uliginosa";"Sw."
22;22;"Aeschynomene schimperi";"Hochst. ex A. Rich."
23;23;"Aframomum angustifolium";"(Sonn.) K. Schum."
24;24;"Afrocarpus usambarensis";"(Pilg.) C. N. Page"
50003;24;"Podocarpus usambarensis";"Pilg."
25;25;"Ageratum conyzoides";"L."
26;26;"Ajuga remota";"Benth."
27;27;"Albizia amara";"(Roxb.) Boivin"
28;28;"Alectra sessiliflora";"(Vahl) Kuntze"
29;29;"Alisma plantago-aquatica";"L."
30;30;"Allium ampeloprasum";"L."
31;31;"Allium cepa";"L."
32;32;"Aloe vera";"(L.) Burm. f."
33;33;"Alternanthera pungens";"Kunth"
34;34;"Alternanthera sessilis";"(L.) R. Br. ex DC."
35;35;"Amaranthus blitoides";"S. Watson"
36;36;"Amaranthus graecizans";"L."
37;37;"Amaranthus hybridus";"L."
38;38;"Amaranthus hybridus ssp. cruentus";"(L.) Thell."
50004;38;"Amaranthus cruentus";"L."
39;39;"Amaranthus species";
40;40;"Amaranthus spinosus";"L."
41;41;"Ambrosia maritima";"L."
42;42;"Ammannia auriculata";"Willd."
43;43;"Ammannia baccifera";"L."
50005;43;"Ammannia wormskioldii";"Fisch. & C.A. Mey."
44;44;"Anagallis arvensis";"L."
45;45;"Annona muricata";"L."
46;46;"Apium graveolens";"L."
47;47;"Apium species";
48;48;"Arachis hypogaea";"L."
49;49;"Argemone mexicana";"L."
50;50;"Aristida adoensis";"Hochst."
51;51;"Aristida kenyensis";"Henrard"
52;52;"Aristida paoliana";"(Chiov.) Henrard"
50006;52;"Aristida hemmingii";"Clayton"
53;53;"Aristida stipoides";"Lam."
54;54;"Artocarpus heterophylla";"Lam."
55;55;"Asparagus africanus";"Lam."
56;56;"Asparagus species";
57;57;"Aspilia mossambicensis";"(Oliv.) Wild"
